Generating an artificial network
Generating 10 inlets
Starting the simulation with a timestep of 0.001s for 12 times with 4 jobs.
         1055133 function calls (1031970 primitive calls) in 68.918 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      508    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
      493    0.000    0.000    0.001    0.000 __init__.py:2345(_normalize_cached)
      491    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      490    0.000    0.000    0.001    0.000 __init__.py:2812(__getattr__)
      483    0.003    0.000    0.017    0.000 decorator.py:93(__init__)
      483    0.002    0.000    0.003    0.000 decorator.py:145(update)
      483    0.000    0.000    0.001    0.000 decorator.py:170(<listcomp>)
      483    0.005    0.000    0.035    0.000 decorator.py:162(make)
      483    0.003    0.000    0.057    0.000 decorator.py:196(create)
      471    0.001    0.000    0.005    0.000 pyparsing.py:1167(copy)
      470    0.001    0.000    0.001    0.000 function_base.py:2031(__init__)
      468    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
      464    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      461    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      461    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
      456    0.001    0.000    0.006    0.000 rcsetup.py:373(validate_color)
      456    0.000    0.000    0.005    0.000 colors.py:112(is_color_like)
      455    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      454    0.000    0.000    0.000    0.000 ops.py:292(op_str)
      441    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      441    0.000    0.000    0.000    0.000 six.py:184(find_module)
      432    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      432    0.000    0.000    0.000    0.000 colors.py:196(<genexpr>)
      427    0.000    0.000    0.001    0.000 font_manager.py:958(_json_decode)
      416    0.000    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      415    0.000    0.000    0.001    0.000 __init__.py:2637(key)
      415    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
      415    0.002    0.000    0.002    0.000 version.py:343(_cmpkey)
      414    0.000    0.000    0.000    0.000 __init__.py:2553(is_version_line)
      414    0.001    0.000    0.006    0.000 version.py:74(__init__)
      414    0.002    0.000    0.005    0.000 version.py:131(_legacy_cmpkey)
      410    0.000    0.000    0.004    0.000 pyparsing.py:1423(copy)
      408    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      408    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      408    0.001    0.000    0.003    0.000 pickle.py:738(save_str)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
      397    0.001    0.000    0.006    0.000 artist.py:1120(get_valid_values)
      397    0.000    0.000    0.000    0.000 artist.py:1194(aliased_name)
      394    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      394    0.000    0.000    0.000    0.000 inspect.py:504(_is_wrapper)
      394    0.001    0.000    0.001    0.000 inspect.py:484(unwrap)
      394    0.000    0.000    0.021    0.000 inspect.py:2829(from_callable)
      394    0.000    0.000    0.021    0.000 inspect.py:3081(signature)
      392    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
      387    0.001    0.000    0.003    0.000 inspect.py:2843(replace)
      387    0.001    0.000    0.002    0.000 typing.py:113(_type_check)
      385    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x828674320}
      384    0.000    0.000    0.000    0.000 __init__.py:930(__getitem__)
      384    0.000    0.000    0.000    0.000 _distn_infrastructure.py:41(instancemethod)
      373    0.002    0.000    0.005    0.000 colors.py:176(_to_rgba_no_colorcycle)
      367    0.000    0.000    0.000    0.000 generic.py:7(_check)
      358    0.011    0.000    0.022    0.000 doccer.py:179(indentcount_lines)
      355    0.001    0.000    0.001    0.000 _util.py:293(<listcomp>)
      355    0.000    0.000    0.001    0.000 _util.py:297(<listcomp>)
      355    0.000    0.000    0.001    0.000 _util.py:302(<listcomp>)
      355    0.001    0.000    0.001    0.000 _util.py:307(<listcomp>)
      355    0.002    0.000    0.024    0.000 _util.py:270(getargspec_no_self)
      352    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
      350    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      350    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      348    0.001    0.000    0.004    0.000 inspect.py:1799(_signature_bound_method)
      348    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
      344    0.001    0.000    0.006    0.000 __init__.py:1486(_fn)
      344    0.001    0.000    0.004    0.000 __init__.py:1492(_validate_resource_path)
      344    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      344    0.001    0.000    0.002    0.000 ntpath.py:67(isabs)
      344    0.001    0.000    0.001    0.000 ntpath.py:122(splitdrive)
      342    0.000    0.000    0.006    0.000 __init__.py:1406(_get_metadata_path)
      340    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
      339    0.025    0.000    0.071    0.000 doccer.py:12(docformat)
      336    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
      334    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
      334    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      331    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      331    0.000    0.000    0.000    0.000 typing.py:657(__eq__)
      331    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      329    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      328    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
      327    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      327    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      327    0.001    0.000    0.002    0.000 enum.py:70(__setitem__)
